0.0	1.981
0.803	3.117
1.803	3.418
2.804	3.767
3.803	2.604
4.803	2.26
5.803	1.493
6.803	1.183
7.803	1.881
8.803	3.363
9.803	2.645
10.803	2.926
11.803	2.147
12.804	1.037
13.813	2.16
14.803	1.923
15.806	2.186
16.806	1.832
17.81	2.016
18.803	1.713
19.806	1.897
20.803	0.479
21.804	3.498
22.804	0.217
23.803	3.937
24.803	2.781
25.803	2.656
26.803	3.224
27.803	3.726
28.804	2.842
29.804	1.264
30.803	1.863
31.803	3.768
32.804	3.284
33.804	3.464
34.803	2.35
35.804	2.315
36.803	2.921
37.803	2.352
38.804	5.065
39.803	3.73
40.803	3.634
41.804	4.192
42.803	4.039
43.804	3.999
44.804	3.818
45.803	4.097
46.804	4.264
47.803	4.055
48.803	1.917
49.803	5.129
50.804	6.154
51.803	3.492
52.803	3.308
53.803	5.891
54.803	3.77
55.803	3.911
56.803	2.98
57.804	3.416
58.803	3.477
59.803	3.109
60.803	3.144
61.804	2.319
62.804	3.134
63.804	2.949
64.804	3.053
65.803	3.491
66.803	3.082
67.803	2.976
68.803	3.258
69.803	3.067
70.804	3.086
71.803	3.148
72.803	0.284
73.804	4.062
74.804	2.861
75.803	2.517
76.803	1.997
77.804	1.952
78.803	1.797
79.803	1.337
80.803	1.072
81.803	0.157
82.803	2.866
83.808	1.611
84.804	1.661
85.803	1.698
86.803	1.578
87.804	1.445
88.803	1.975
89.804	2.141
90.804	2.247
91.803	2.897
92.805	1.757
93.803	4.316
94.804	3.815
95.803	4.155
96.803	4.457
97.804	3.614
98.803	4.663
99.804	4.104
100.804	3.318
101.803	3.268
102.804	2.43
103.803	2.519
104.803	2.211
105.804	2.297
106.804	2.928
107.804	2.877
108.804	2.927
109.803	3.768
110.804	3.41
111.803	3.728
112.803	2.689
113.803	3.104
114.803	3.405
115.803	3.425
116.803	3.282
117.803	3.26
118.803	3.282
119.804	3.214
120.803	3.298
121.803	3.43
122.804	3.391
123.804	3.325
124.803	0.912
125.803	3.189
126.803	3.942
127.803	0.09
128.805	3.058
129.803	2.036
130.803	1.903
131.803	2.16
132.803	2.59
133.803	2.673
134.803	1.792
135.803	1.844
136.804	2.224
137.803	2.176
138.803	1.655
139.803	1.48
140.803	1.717
141.803	1.241
142.803	1.601
143.803	1.619
144.833	2.185
145.804	3.102
146.803	3.381
147.803	2.882
148.803	3.086
149.803	3.288
150.803	3.258
151.803	2.338
152.804	1.848
153.803	2.12
154.835	1.228
155.835	2.333
156.841	0.104
157.842	3.444
158.803	4.015
159.803	3.75
160.804	4.669
161.803	5.202
162.804	5.236
163.803	1.371
164.804	2.813
165.803	6.944
166.803	7.438
167.803	5.436
168.804	4.622
169.804	5.794
170.803	6.347
171.803	5.484
172.804	5.599
173.804	5.256
174.804	4.621
175.803	6.694
176.803	6.755
177.804	5.598
178.803	5.642
179.803	3.32
180.803	6.12
181.803	7.272
182.803	5.634
183.803	6.092
184.803	4.666
185.803	6.356
186.804	4.252
187.803	6.785
188.804	5.059
189.803	6.482
190.803	3.148
191.803	7.201
192.804	7.187
193.803	6.236
194.803	5.368
195.803	3.474
196.803	7.142
197.803	6.942
198.804	5.213
199.803	4.893
200.803	2.776
201.803	3.7
202.804	3.916
203.803	3.555
204.803	3.572
205.803	3.636
206.804	5.163
207.803	4.383
208.804	2.51
209.804	4.561
210.803	4.358
211.803	5.56
212.804	4.478
213.803	3.237
214.803	3.974
215.803	3.733
216.803	3.335
217.805	2.388
218.803	2.107
219.804	3.602
220.803	3.147
221.803	3.5
222.803	3.988
223.803	2.152
224.804	1.372
225.804	1.883
226.808	2.221
227.803	3.496
228.804	3.432
